"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","AGRWTH","A","1960",2.1737,
"AUS","POP","TOT","AGRWTH","A","1961",2.2695,
"AUS","POP","TOT","AGRWTH","A","1962",1.8299,
"AUS","POP","TOT","AGRWTH","A","1963",1.9288,
"AUS","POP","TOT","AGRWTH","A","1964",1.9684,
"AUS","POP","TOT","AGRWTH","A","1965",1.9718,
"AUS","POP","TOT","AGRWTH","A","1966",2.2802,
"AUS","POP","TOT","AGRWTH","A","1967",1.7205,
"AUS","POP","TOT","AGRWTH","A","1968",1.776,
"AUS","POP","TOT","AGRWTH","A","1969",2.1183,
"AUS","POP","TOT","AGRWTH","A","1970",1.9924,
"AUS","POP","TOT","AGRWTH","A","1971",4.4766,
"AUS","POP","TOT","AGRWTH","A","1972",1.809,
"AUS","POP","TOT","AGRWTH","A","1973",1.5099,
"AUS","POP","TOT","AGRWTH","A","1974",1.6145,
"AUS","POP","TOT","AGRWTH","A","1975",1.2419,
"AUS","POP","TOT","AGRWTH","A","1976",1.0083,
"AUS","POP","TOT","AGRWTH","A","1977",1.1341,
"AUS","POP","TOT","AGRWTH","A","1978",1.1768,
"AUS","POP","TOT","AGRWTH","A","1979",1.0897,
"AUS","POP","TOT","AGRWTH","A","1980",1.2374,
"AUS","POP","TOT","AGRWTH","A","1981",1.5508,
"AUS","POP","TOT","AGRWTH","A","1982",1.7488,
"AUS","POP","TOT","AGRWTH","A","1983",1.3779,
"AUS","POP","TOT","AGRWTH","A","1984",1.2077,
"AUS","POP","TOT","AGRWTH","A","1985",1.341,
"AUS","POP","TOT","AGRWTH","A","1986",1.457,
"AUS","POP","TOT","AGRWTH","A","1987",1.5327,
"AUS","POP","TOT","AGRWTH","A","1988",1.6496,
"AUS","POP","TOT","AGRWTH","A","1989",1.7072,
"AUS","POP","TOT","AGRWTH","A","1990",1.491,
"AUS","POP","TOT","AGRWTH","A","1991",1.2827,
"AUS","POP","TOT","AGRWTH","A","1992",1.1258,
"AUS","POP","TOT","AGRWTH","A","1993",0.8935,
"AUS","POP","TOT","AGRWTH","A","1994",0.9677,
"AUS","POP","TOT","AGRWTH","A","1995",1.1199,
"AUS","POP","TOT","AGRWTH","A","1996",1.2212,
"AUS","POP","TOT","AGRWTH","A","1997",1.0879,
"AUS","POP","TOT","AGRWTH","A","1998",1.0017,
"AUS","POP","TOT","AGRWTH","A","1999",1.0999,
"AUS","POP","TOT","AGRWTH","A","2000",1.151,
"AUS","POP","TOT","AGRWTH","A","2001",1.2922,
"AUS","POP","TOT","AGRWTH","A","2002",1.144,
"AUS","POP","TOT","AGRWTH","A","2003",1.1568,
"AUS","POP","TOT","AGRWTH","A","2004",1.0749,
"AUS","POP","TOT","AGRWTH","A","2005",1.2247,
"AUS","POP","TOT","AGRWTH","A","2006",1.3585,
"AUS","POP","TOT","AGRWTH","A","2007",1.8417,
"AUS","POP","TOT","AGRWTH","A","2008",2.0241,
"AUS","POP","TOT","AGRWTH","A","2009",2.0822,
"AUS","POP","TOT","AGRWTH","A","2010",1.5678,
"AUS","POP","TOT","AGRWTH","A","2011",1.3992,
"AUS","POP","TOT","AGRWTH","A","2012",1.7611,
"AUS","POP","TOT","AGRWTH","A","2013",1.736,
"AUS","POP","TOT","AGRWTH","A","2014",1.5027,
"AUS","POP","TOT","AGRWTH","A","2015",1.4496,
"AUS","POP","TOT","AGRWTH","A","2016",1.5742,
"AUS","POP","TOT","AGRWTH","A","2017",1.6987,
"AUS","POP","TOT","AGRWTH","A","2018",1.5893,
"AUT","POP","TOT","AGRWTH","A","1960",0.4734,
"AUT","POP","TOT","AGRWTH","A","1961",0.5499,
"AUT","POP","TOT","AGRWTH","A","1962",0.6147,
